Entity,Type,Geo,Stages of Investing,Market,Yearly Deals,Leads,URL,General Notes
Life Science Angels,Angel Group,US | CA,"Seed,A","Device,Therapeutic,Diagnostic,Vaccine,Software,Research tool,Reagents",5,Never,,
Refactor Capital,VC Firm,US | CA,"Pre-Seed,Seed","Therapeutic,Diagnostic,Vaccine,Cosmetic,Food,Agriculture,Veterinary,Materials,Software,Device,Reagents,Research tool,Service,Something else",5,Usually,,Climate and bio $1M-$2M checks
Phase Two Ventures,VC Firm,US | CA,"Seed,Pre-Seed","Research tool,Reagents,Diagnostic,Device,Software,Cosmetic,Food,Agriculture,Veterinary",5,,,"Invests in San Diego based companies
https://www.phasetwo.vc/"
Felicis Ventures,VC Firm,"US | CA,EU | UK,AU | NZ","Seed,A,B+","Software,Therapeutic",32,Sometimes,http://www.felicis.com/,Large firm with only occasional bio investments
Pear VC,VC Firm,"US | CA,SE Asia","Seed,Pre-Seed,A","Software,Something else,Diagnostic,Therapeutic",32,Sometimes,,A generalist VC firm focused a lot on AI software with one partner focused on bio
Toyota Ventures,VC Firm,"US | CA,AU | NZ","A,B+","Materials,Agriculture,Device",16,Usually,,
Ascension Ventures,VC Firm,"EU | UK,US | CA","Seed,A,B+","Therapeutic,Diagnostic,Vaccine,Device,Reagents",8,Usually,,"Well established healthcare fund, mostly UK, some US, steady rate of investing"
Fusion Fund,VC Firm,US | CA,"Pre-Seed,Seed,A","Software,Diagnostic,Therapeutic,Food,Something else",8,Usually,,"Healthcare, enterprise AI, and industrial technology with a special interest in software and AI"
Pillar / Petri,"Accelerator,VC Firm","US | CA,Israel","Pre-Seed,Seed","Software,Therapeutic,Device,Agriculture,Something else",8,Usually,,"Accelerator and pre-seed investor, following through seed and further rounds;
Various technologies, with about half being bio and quite a bit of software"
Bioluminescence Ventures,VC Firm,US | CA,"B+,Seed",Therapeutic,4,Usually,https://bioluminescence.com/,Future of medicine
OMX Ventures,VC Firm,US | CA,"Seed,A,B+","Diagnostic,Therapeutic,Materials,Research tool,Agriculture,Software",4,Usually,,"""The convergence of biology and computing"""
R42 Group,VC Firm,"US | CA,EU | UK",Seed,"Therapeutic,Diagnostic,Software,Device,Research tool",4,Usually,,Ronjon Nag's fund
Morningside Ventures,VC Firm,"China,US | CA,EU | UK","A,B+,Seed","Therapeutic,Diagnostic,Vaccine,Agriculture,Food,Veterinary,Materials,Software,Device,Reagents,Research tool,Something else",20,Usually,,
Innovation Endeavors ,VC Firm,US | CA,"Seed,A,B+","Software,Therapeutic",10,Usually,,"""Visionary founders, transformational technology, and emergent ecosystems for a new world"""
Primavera Capital Group,VC Firm,"China,SE Asia","Seed,A,B+","Therapeutic,Diagnostic,Vaccine,Software",10,Usually,,Founded 2022
Sand Hill Angels,Angel Group,US | CA,"Pre-Seed,Seed","Therapeutic,Diagnostic,Vaccine,Cosmetic,Food,Agriculture,Veterinary,Materials,Software,Device,Reagents,Research tool,Service,Something else",10,Never,,"Everything, with a fair amount of medical"
StartUp Health,"Accelerator,VC Firm",US | CA,"Pre-Seed,Seed","Service,Software,Food,Therapeutic,Diagnostic",10,Never,,focused on healthcare delivery and products for patients
TSVC,VC Firm,US | CA,"Pre-Seed,Seed,A","Diagnostic,Materials,Device",10,Never,,"Deeptech, a lot of robotics, some healthcare delivery, a little bio"
 Macmillan Cancer Support,VC Firm,EU | UK,"Seed,A,B+","Diagnostic,Vaccine,Device,Software,Service",6,Sometimes,,"UK cancer patient support charity, mostly investing in UK companies, but NOT therapeutics"
Reinforced Ventures,VC Firm,US | CA,Seed,"Therapeutic,Software,Research tool,Diagnostic",6,Sometimes,,"Early stage robotics, autonomous systems and biotechnology;
Investing through their AngelList syndicate"
LifeX Ventures,VC Firm,"US | CA,EU | UK,AU | NZ","Seed,A","Software,Diagnostic",5,Sometimes,,Accelerator and VC firm focused on software for people and planet
Next Sequence,"VC Firm,Accelerator","US | CA,EU | UK","Pre-Seed,Seed","Diagnostic,Therapeutic,Software,Materials,Vaccine,Food,Agriculture",5,,https://www.thenextsequence.com/,Tech bio with a data component with an accelerator option
North South Ventures,VC Firm,US | CA,Seed,"Software,Service,Diagnostic,Therapeutic,Research tool",5,Never,,
Eisai Innovation,Corp VC,"US | CA,Israel,EU | UK,JP | KR","Seed,B+","Therapeutic,Software,Device",4,Sometimes,,"neurology, oncology, and genetics focus;
$1M to $5M checks;
seed to mid-stage"
Modi Ventures,"Single Family Office,VC Firm",US | CA,"A,B+","Therapeutic,Diagnostic,Software",4,Never,,"Mostly based in Houston, TX"
Taiho Ventures,VC Firm,"US | CA,JP | KR,EU | UK","Seed,A",Therapeutic,4,Usually,,Deep biotech with a European tendency
Flybridge,VC Firm,"US | CA,LATAM","Seed,A","Software,Diagnostic,Service,Device,Therapeutic",14,Usually,,"""Entrepreneurs leveraging the power of community""
Not very much bio
"
Serra Ventures,VC Firm,US | CA,"Seed,A","Agriculture,Food,Veterinary,Software,Device,Research tool,Diagnostic",7,Usually,,US Midwest based with a tendency towards ag and food production
Longwood Fund,VC Firm,"US | CA,EU | UK","A,B+",Therapeutic,4,Usually,,
New York Blood Center (NYBC) Ventures,VC Firm,US | CA,"Seed,A","Therapeutic,Diagnostic,Device",4,Usually,,Blood and cellular therapeutics
Nucleus Capital,VC Firm,"EU | UK,US | CA","Pre-Seed,Seed","Food,Materials,Agriculture,Service,Device,Something else",4,Sometimes,,"latest fund is a ""synbio"" fund for food and industrial production with climate benefits"
Plaisance Capital Management ,"Single Family Office,VC Firm",US | CA,"Seed,A,B+",Therapeutic,4,Never,,"biotechnology startups
especially therapeutics
looking for animal data"
SAIF Partners,VC Firm,"China,US | CA,India","Seed,A,B+","Research tool,Diagnostic,Something else,Device,Software",4,Usually,,Mostly invests in Chinese companies
Abingworth,VC Firm,"EU | UK,US | CA","B+,A","Therapeutic,Software,Research tool",6,Usually,,
Mana Ventures,VC Firm,US | CA,"Seed,A","Therapeutic,Diagnostic,Vaccine,Cosmetic,Food,Agriculture,Veterinary,Materials,Software,Device,Reagents,Research tool,Service,Something else",18,Never,,"Runs a popular AngelList syndicate, invests in everything"
Dolby Family Ventures,VC Firm,US | CA,"A,B+,Seed","Research tool,Software,Therapeutic,Device",9,Never,,"A climate fund, a bio fund, and some others"
Recode Ventures,VC Firm,"US | CA,EU | UK","Pre-Seed,Seed","Software,Research tool,Diagnostic,Device",4,Sometimes,,"Health startups with a computational component;
Runs a free pitch contest event for pre-seed startups"
4BIO Capital,VC Firm,"EU | UK,US | CA","A,Seed,B+",Therapeutic,3,Usually,,Based in London
Longitude Capital,VC Firm,US | CA,B+,"Therapeutic,Device,Software",10,Sometimes,,Almost exclusively therapeutics with some devices
 MVM Life Science Partners ,VC Firm,"EU | UK,US | CA","A,B+","Device,Therapeutic,Diagnostic",5,Usually,,
5AM Ventures ,VC Firm,"US | CA,EU | UK","B+,A","Therapeutic,Software,Diagnostic",12,Sometimes,,
Gold Dragon,VC Firm,,"Pre-Seed,Seed,A,B+","Therapeutic,Diagnostic,Vaccine,Cosmetic,Food,Agriculture,Veterinary,Materials,Software,Device,Reagents,Research tool,Service,Something else",12,Never,,"Invests across sectors, runs a lot of AngelList syndicates"
Juniper,VC Firm,US | CA,"Pre-Seed,Seed","Materials,Software,Food,Device,Agriculture",6,Sometimes,,"Formerly named ""Climate Capital Bio"";
Bio-tech climate solutions that accelerate the decarbonization of the largest and least sustainable sectors of the economy;
Related to Climate Capital and the Climate Capital Collective"
Rhapsody Venture Partners,VC Firm,"US | CA,EU | UK","Seed,A","Device,Materials,Food",6,Usually,,
Ergo Bio,VC Firm,"US | CA,EU | UK,SE Asia","Pre-Seed,Seed,A,B+","Vaccine,Software,Research tool,Therapeutic,Diagnostic",3,Never,,"""Life sciences companies with platform technologies and infrastructure solutions and brilliant and kind founders"" Runs occasional AngelList syndicates"
